"";"nrow1";"nrow2";"size1";"size2";"lv_schema";"cos_schema";"lv_tab";"cos_tab";"col1";"col2";"dist_nrow";"dist_lastused";"dist_size";"decisao"
"77";16472;5571;64000;4608;8;0,558058261758408;18;0,449980901783073;17054;38073;7708,17102171455;172800;41996,4859482314;0
"78";77;5571;2048;4608;7;0,683772233983162;17;0,46186176480295;18535;38073;3884,84465583889;172800;1810,19335983756;0
"79";4;5571;2048;4608;7;0,841886116991581;12;0,341689017758525;921;38073;3936,46345086551;4752000;1810,19335983756;0
"80";1136;5571;5120;4608;7;0,683772233983162;20;0,810185849408676;51597;38073;3136,01857456234;11059200;362,038671967512;0
"81";53;5571;2048;4608;7;0,841886116991581;12;0,620019702171326;783;38073;3901,81521858737;86400;1810,19335983756;0
"82";46340;5571;3584;4608;7;0,683772233983162;17;0,385363702847141;94445;38073;28828,0363621944;11059200;724,077343935025;0
"83";24;5571;2048;4608;7;0,683772233983162;19;0,453110020621766;13254;38073;3922,32131524178;172800;1810,19335983756;0
"84";16615011;5571;1378816;4608;7;0,841886116991581;19;0,524535072432073;2926;38073;11744647,6557111;518400;971711,795560803;0
"85";0;5571;6144;4608;6;0,552786404500042;14;0,499361022103494;20925;38073;3939,29187799026;0;1086,11601590254;0
"86";0;5571;2048;4608;7;0,683772233983162;19;0,509447544874204;7539;38073;3939,29187799026;172800;1810,19335983756;0
"87";1852;5571;7680;4608;6;0,552786404500042;15;0,345930059832271;6894;38073;2629,73011923277;0;2172,23203180507;0
"88";0;5571;2048;4608;7;0,683772233983162;22;0,596396323602213;7513;38073;3939,29187799026;345600;1810,19335983756;0
"89";17454;5571;7936;4608;8;0,558058261758408;12;0,456285053833568;28784;38073;8402,54988083974;172800;2353,25136778883;0
"90";0;5571;2048;4608;9;0,432225026042331;19;0,720518457679958;16016;38073;3939,29187799026;172800;1810,19335983756;0
"91";103703;5571;8448;4608;7;0,552786404500042;13;0,429218207014607;40229;38073;69389,8026513983;22204800;2715,29003975634;0
"92";16921;5571;10752;4608;9;0,432225026042331;16;0,319386090270227;4968;38073;8025,66196646731;3801600;4344,46406361015;0
"93";21316949;5571;7413760;4608;8;0,795875854768069;8;0,707491030349148;2280;38073;15069419,9002298;0;5239061,62204187;0
"94";0;5571;2048;4608;9;0,432225026042331;18;0,903626115069515;5091;38073;3939,29187799026;3801600;1810,19335983756;0
"95";16;5571;2048;4608;6;0,552786404500042;17;0,358311052080252;4211;38073;3927,97816949127;0;1810,19335983756;0
"96";23;5571;2048;4608;7;0,683772233983162;9;0,676619166618223;19359;38073;3923,02842202297;172800;1810,19335983756;0
"97";0;5571;2048;4608;6;0,552786404500042;16;0,566139084362688;9246;38073;3939,29187799026;1382400;1810,19335983756;0
"98";8;5571;2048;4608;7;0,683772233983162;5;0,211759218631918;10518;38073;3933,63502374076;172800;1810,19335983756;0
