"";"acesso1";"acesso2";"qtdtabelas1";"qtdtabelas2";"tamgb1";"tamgb2";"qtdlinhas1";"qtdlinhas2";"qtdcolunas1";"qtdcolunas2";"lv_tabelas";"cos_tabelas";"jac_tabelas";"lv_schtab";"cos_schtab";"jac_schtab";"decisao";"id_schema"
"336";115;43;116;218;32,54589844;82,92541504;94950263;555415048;1550;2898;2961;0,0241740843753019;0;2968;0,0239361163675965;0;0;336
"338";6;37;7;37;108,1806641;0,096191406;183421331;267565;346;225;499;0,116948936203671;0,217391304347826;500;0,113065532011576;0,217391304347826;0;338
"342";6;21;7;23;108,1806641;25,47961426;183421331;191401724;346;266;217;0,126293149669411;0,217391304347826;226;0,122548798357681;0,217391304347826;0;342
"354";6;0;7;20;108,1806641;0,01953125;183421331;400;346;107;202;0,117196835453346;0,217391304347826;206;0,104367959653674;0,217391304347826;0;354
"359";6;5;7;48;108,1806641;0,04296875;183421331;187;346;267;723;0,24451657027714;0,28;724;0,244548930214793;0,28;0;359
"360";6;0;7;8;108,1806641;0,0078125;183421331;0;346;37;85;0,225141931794006;0,15;93;0,252137785764427;0,19047619047619;0;360
"361";6;0;7;2;108,1806641;0,002685547;183421331;18940;346;11;77;0,375062963264485;0,45;83;0,408947218313533;0,45;0;361
"363";6;0;7;15;108,1806641;1,53515625;183421331;13208944;346;254;200;0,151725896941799;0,25;200;0,15402760508802;0,25;0;363
"366";6;4;7;33;108,1806641;3,3203125;183421331;7064804;346;227;401;0,153760415697083;0,25;401;0,136455236180421;0,25;0;366
"369";6;8;7;54;108,1806641;18,13964844;183421331;101977158;346;915;830;0,119514880277788;0,307692307692308;829;0,115950740977957;0,307692307692308;0;369
"375";6;4;7;19;108,1806641;0,009277344;183421331;1;346;138;250;0,117501779343881;0,181818181818182;253;0,106904133130266;0,181818181818182;0;375
"377";6;25;7;45;108,1806641;791,5610352;183421331;2803997559;346;1044;609;0,128180139983779;0,24;609;0,126473834699451;0,24;0;377
"392";6;1;7;55;108,1806641;222,0068359;183421331;1232589939;346;1506;866;0,187115055466163;0,208333333333333;866;0,178893384331733;0,208333333333333;0;392
"394";6;0;7;1;108,1806641;0,000976563;183421331;0;346;5;76;0,292266258340481;0,473684210526316;81;0,244649706341175;0,380952380952381;0;394
"396";6;0;7;6;108,1806641;6,135742188;183421331;38458211;346;52;66;0,222061076732218;0,142857142857143;71;0,171399023280444;0,142857142857143;0;396
