"";"nrow1";"nrow2";"lengthcol1";"lengthcol2";"fk1";"fk2";"size1";"size2";"lv_schema";"cos_schema";"lv_tab";"cos_tab";"lv_col";"cos_col";"lv_type";"cos_type";"lv_null";"cos_null";"lv_fk";"cos_fk";"dist_nrow";"dist_length";"dist_lastused";"dist_size";"decisao"
"5480089";0;1263655463;8;4;0;0;2048;85774336;0;0;9;0,45205097047461;17;0,893399641822195;6;0,798992436948158;1;1;0;0;893539346,970726;2,82842712474619;9590400;60650166,4826855;0
"5480090";0;1263655463;8;5;0;0;2048;85774336;0;0;9;0,45205097047461;17;0,867417478527522;0;0;0;0;0;0;893539346,970726;2,12132034355964;9590400;60650166,4826855;0
"5480091";0;5;8;2;0;0;2048;2048;0;0;7;0,50970966215454;16;0,5625;7;0,809307482150882;1;1;0;0;3,53553390593274;4,24264068711928;11059200;0;0
"5480092";0;5;8;50;0;0;2048;2048;0;0;7;0,50970966215454;16;0,625;0;0;1;1;0;0;3,53553390593274;29,698484809835;11059200;0;0
"5480093";0;11;8;2;0;0;2048;2048;0;0;10;0,466239487316376;16;0,606080701420832;7;0,809307482150882;1;1;0;0;7,77817459305202;4,24264068711928;6393600;0;0
"5480094";0;11;8;50;0;0;2048;2048;0;0;10;0,466239487316376;16;0,611091270347399;0;0;0;0;0;0;7,77817459305202;29,698484809835;6393600;0;0
"5480095";0;41;8;8;0;0;2048;2048;0;0;8;0,394594485403319;16;0,634851628329889;7;1;1;1;0;0;28,9913780286484;0;11145600;0;0
"5480096";0;41;8;10;0;0;2048;2048;0;0;8;0,394594485403319;16;0,524835554781295;8;0,832751597998582;1;1;0;0;28,9913780286484;1,4142135623731;11145600;0;0
"5480097";0;41;8;1;0;0;2048;2048;0;0;8;0,394594485403319;15;0,646446609406726;5;0,143651161422325;1;1;0;0;28,9913780286484;4,94974746830583;11145600;0;0
"5480098";0;10;8;4;0;0;2048;2048;0;0;6;0,411651594585448;15;0,4375;6;0,798992436948158;1;1;0;0;7,07106781186548;2,82842712474619;11145600;0;0
"5480099";0;10;8;4;0;1;2048;2048;0;0;6;0,411651594585448;17;0,680198925466584;6;0,798992436948158;0;0;1;1;7,07106781186548;2,82842712474619;11145600;0;0
"5480100";0;10;8;50;0;0;2048;2048;0;0;6;0,411651594585448;14;0,375;0;0;1;1;0;0;7,07106781186548;29,698484809835;11145600;0;0
"5480101";0;151;8;4;0;1;2048;2048;0;0;11;0,318614856130753;15;0,385807731360006;6;0,798992436948158;1;1;1;1;106,773123959169;2,82842712474619;11145600;0;0
